iter	Passed	Remaining
0	0	56
1	1	51
2	1	51
3	2	51
4	2	54
5	3	54
6	4	54
7	4	54
8	5	54
9	6	54
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	18	42
31	19	41
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	33
43	25	33
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	39	14
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
