iter	Passed	Remaining
0	148	148182
1	150	75115
2	152	50712
3	154	38581
4	157	31358
5	160	26524
6	162	23032
7	163	20332
8	166	18311
9	169	16763
10	170	15370
11	172	14210
12	174	13211
13	175	12378
14	177	11648
15	179	11048
16	181	10514
17	183	10022
18	185	9589
19	188	9244
20	191	8911
21	193	8585
22	196	8347
23	199	8105
24	201	7845
25	203	7604
26	204	7378
27	206	7175
28	208	6995
29	211	6835
30	214	6691
31	216	6543
32	218	6415
33	221	6290
34	223	6170
35	226	6058
36	228	5959
37	231	5863
38	234	5770
39	236	5684
40	239	5603
41	241	5517
42	244	5442
43	246	5364
44	249	5288
45	251	5223
46	254	5154
47	256	5085
48	259	5027
49	260	4948
50	262	4886
51	265	4835
52	267	4777
53	269	4722
54	272	4678
55	274	4626
56	276	4577
57	279	4536
58	281	4496
59	284	4453
60	286	4412
61	288	4370
62	290	4326
63	293	4296
64	295	4257
65	298	4217
66	300	4182
67	302	4144
68	304	4107
69	306	4073
70	308	4035
71	310	3998
72	312	3964
73	313	3927
74	316	3897
75	317	3865
76	319	3833
77	321	3802
78	323	3775
79	325	3745
80	327	3712
81	328	3679
82	329	3641
83	331	3612
84	332	3582
85	334	3552
86	335	3521
87	337	3492
88	338	3467
89	340	3439
90	341	3411
91	343	3385
92	344	3361
93	345	3332
94	346	3304
95	348	3280
96	349	3254
97	350	3227
98	352	3203
99	353	3178
100	354	3154
101	355	3127
102	356	3102
103	357	3078
104	358	3055
105	359	3034
106	360	3012
107	362	2992
108	363	2971
109	364	2949
110	365	2927
111	366	2906
112	367	2887
113	368	2867
114	369	2846
115	370	2826
116	371	2804
117	372	2785
118	373	2765
119	374	2747
120	375	2731
121	377	2715
122	378	2698
123	379	2681
124	380	2664
125	381	2646
126	382	2629
127	383	2615
128	385	2599
129	385	2583
130	387	2567
131	388	2551
132	389	2536
133	390	2522
134	391	2508
135	392	2494
136	393	2480
137	394	2465
138	395	2451
139	396	2438
140	398	2425
141	398	2409
142	399	2395
143	400	2381
144	401	2368
145	402	2355
146	403	2342
147	404	2329
148	406	2318
149	407	2307
150	408	2296
151	409	2283
152	410	2272
153	411	2261
154	412	2250
155	414	2240
156	415	2229
157	416	2218
158	417	2206
159	418	2196
160	418	2183
161	420	2174
162	421	2164
163	422	2155
164	423	2145
165	424	2134
166	425	2124
167	426	2113
168	427	2104
169	429	2095
170	430	2085
171	431	2075
172	432	2065
173	433	2055
174	434	2046
175	435	2038
176	436	2031
177	437	2022
178	439	2013
179	440	2004
180	441	1995
181	442	1988
182	443	1980
183	444	1971
184	445	1962
185	446	1954
186	447	1945
187	448	1937
188	449	1928
189	450	1920
190	451	1912
191	452	1905
192	453	1897
193	454	1888
194	455	1880
195	456	1871
196	457	1864
197	458	1857
198	459	1849
199	460	1841
200	461	1834
201	462	1826
202	463	1819
203	464	1812
204	465	1806
205	467	1800
206	467	1792
207	468	1785
208	469	1778
209	470	1771
210	471	1764
211	473	1758
212	474	1753
213	475	1746
214	476	1739
215	477	1732
216	478	1726
217	479	1720
218	481	1715
219	482	1710
220	483	1704
221	484	1698
222	485	1691
223	486	1685
224	487	1680
225	489	1674
226	489	1668
227	490	1661
228	491	1655
229	492	1649
230	493	1643
231	494	1637
232	496	1633
233	497	1627
234	498	1622
235	499	1617
236	500	1611
237	501	1606
238	503	1601
239	504	1597
240	505	1591
241	506	1586
242	507	1580
243	508	1576
244	509	1571
245	511	1567
246	512	1562
247	513	1558
248	515	1553
249	516	1548
250	517	1543
251	518	1538
252	519	1534
253	520	1529
254	521	1524
255	523	1520
256	524	1515
257	525	1511
258	526	1507
259	528	1503
260	529	1498
261	530	1494
262	531	1489
263	532	1485
264	534	1481
265	535	1476
266	536	1472
267	537	1468
268	538	1464
269	540	1460
270	541	1456
271	542	1452
272	543	1448
273	545	1444
274	546	1440
275	547	1436
276	549	1433
277	550	1429
278	551	1424
279	552	1419
280	553	1415
281	554	1411
282	555	1407
283	556	1404
284	558	1400
285	559	1396
286	560	1392
287	561	1387
288	562	1384
289	563	1380
290	564	1376
291	565	1371
292	566	1367
293	567	1363
294	568	1359
295	570	1356
296	571	1352
297	572	1348
298	573	1345
299	575	1341
300	576	1337
301	577	1333
302	578	1330
303	579	1326
304	580	1322
305	581	1318
306	582	1314
307	583	1310
308	584	1307
309	585	1303
310	586	1300
311	587	1296
312	589	1292
313	590	1289
314	591	1285
315	591	1281
316	593	1277
317	594	1274
318	595	1270
319	596	1266
320	597	1263
321	598	1259
322	598	1255
323	600	1252
324	601	1248
325	602	1245
326	603	1241
327	604	1238
328	605	1234
329	606	1230
330	606	1226
331	608	1223
332	609	1220
333	610	1216
334	611	1213
335	612	1209
336	613	1206
337	613	1202
338	614	1199
339	616	1195
340	617	1192
341	618	1189
342	619	1186
343	620	1182
